Week,air conditioner: (Worldwide)
2010-01-03,12
2010-01-10,13
2010-01-17,12
2010-01-24,11
2010-01-31,11
2010-02-07,10
2010-02-14,11
2010-02-21,12
2010-02-28,13
2010-03-07,16
2010-03-14,18
2010-03-21,19
2010-03-28,23
2010-04-04,31
2010-04-11,26
2010-04-18,24
2010-04-25,23
2010-05-02,40
2010-05-09,27
2010-05-16,32
2010-05-23,69
2010-05-30,57
2010-06-06,44
2010-06-13,48
2010-06-20,61
2010-06-27,56
2010-07-04,93
2010-07-11,65
2010-07-18,58
2010-07-25,44
2010-08-01,42
2010-08-08,41
2010-08-15,36
2010-08-22,29
2010-08-29,28
2010-09-05,18
2010-09-12,18
2010-09-19,18
2010-09-26,20
2010-10-03,15
2010-10-10,14
2010-10-17,12
2010-10-24,12
2010-10-31,12
2010-11-07,12
2010-11-14,11
2010-11-21,11
2010-11-28,10
2010-12-05,11
2010-12-12,10
2010-12-19,8
2010-12-26,11
2011-01-02,11
2011-01-09,10
2011-01-16,10
2011-01-23,11
2011-01-30,16
2011-02-06,12
2011-02-13,11
2011-02-20,13
2011-02-27,12
2011-03-06,13
2011-03-13,16
2011-03-20,18
2011-03-27,18
2011-04-03,19
2011-04-10,24
2011-04-17,22
2011-04-24,29
2011-05-01,25
2011-05-08,37
2011-05-15,27
2011-05-22,44
2011-05-29,75
2011-06-05,71
2011-06-12,38
2011-06-19,44
2011-06-26,46
2011-07-03,57
2011-07-10,56
2011-07-17,90
2011-07-24,54
2011-07-31,50
2011-08-07,35
2011-08-14,31
2011-08-21,32
2011-08-28,30
2011-09-04,23
2011-09-11,20
2011-09-18,18
2011-09-25,18
2011-10-02,15
2011-10-09,15
2011-10-16,14
2011-10-23,13
2011-10-30,13
2011-11-06,14
2011-11-13,13
2011-11-20,11
2011-11-27,11
2011-12-04,11
2011-12-11,10
2011-12-18,9
2011-12-25,9
2012-01-01,13
2012-01-08,11
2012-01-15,11
2012-01-22,12
2012-01-29,12
2012-02-05,11
2012-02-12,11
2012-02-19,13
2012-02-26,14
2012-03-04,14
2012-03-11,19
2012-03-18,27
2012-03-25,22
2012-04-01,24
2012-04-08,20
2012-04-15,27
2012-04-22,26
2012-04-29,36
2012-05-06,31
2012-05-13,36
2012-05-20,55
2012-05-27,69
2012-06-03,39
2012-06-10,45
2012-06-17,78
2012-06-24,68
2012-07-01,92
2012-07-08,66
2012-07-15,60
2012-07-22,51
2012-07-29,46
2012-08-05,48
2012-08-12,42
2012-08-19,31
2012-08-26,30
2012-09-02,30
2012-09-09,22
2012-09-16,21
2012-09-23,18
2012-09-30,18
2012-10-07,15
2012-10-14,14
2012-10-21,13
2012-10-28,13
2012-11-04,13
2012-11-11,11
2012-11-18,11
2012-11-25,15
2012-12-02,13
2012-12-09,11
2012-12-16,10
2012-12-23,11
2012-12-30,14
2013-01-06,16
2013-01-13,14
2013-01-20,12
2013-01-27,12
2013-02-03,11
2013-02-10,12
2013-02-17,13
2013-02-24,13
2013-03-03,16
2013-03-10,19
2013-03-17,18
2013-03-24,20
2013-03-31,22
2013-04-07,31
2013-04-14,29
2013-04-21,26
2013-04-28,36
2013-05-05,37
2013-05-12,41
2013-05-19,58
2013-05-26,62
2013-06-02,52
2013-06-09,48
2013-06-16,50
2013-06-23,79
2013-06-30,80
2013-07-07,72
2013-07-14,100
2013-07-21,49
2013-07-28,34
2013-08-04,32
2013-08-11,29
2013-08-18,29
2013-08-25,34
2013-09-01,34
2013-09-08,26
2013-09-15,19
2013-09-22,18
2013-09-29,17
2013-10-06,16
2013-10-13,15
2013-10-20,16
2013-10-27,13
2013-11-03,13
2013-11-10,13
2013-11-17,12
2013-11-24,12
2013-12-01,12
2013-12-08,12
2013-12-15,13
2013-12-22,11
2013-12-29,14
2014-01-05,14
2014-01-12,19
2014-01-19,14
2014-01-26,15
2014-02-02,14
2014-02-09,13
2014-02-16,15
2014-02-23,15
2014-03-02,15
2014-03-09,17
2014-03-16,21
2014-03-23,22
2014-03-30,26
2014-04-06,29
2014-04-13,29
2014-04-20,33
2014-04-27,43
2014-05-04,41
2014-05-11,56
2014-05-18,43
2014-05-25,58
2014-06-01,58
2014-06-08,55
2014-06-15,66
2014-06-22,55
2014-06-29,73
2014-07-06,63
2014-07-13,54
2014-07-20,50
2014-07-27,45
2014-08-03,38
2014-08-10,32
2014-08-17,33
2014-08-24,32
2014-08-31,32
2014-09-07,24
2014-09-14,26
2014-09-21,19
2014-09-28,19
2014-10-05,19
2014-10-12,17
2014-10-19,17
2014-10-26,17
2014-11-02,15
2014-11-09,15
2014-11-16,16
2014-11-23,14
2014-11-30,13
2014-12-07,12
2014-12-14,11
2014-12-21,11
2014-12-28,16
2015-01-04,12
2015-01-11,11
2015-01-18,11
2015-01-25,10
2015-02-01,9
2015-02-08,11
2015-02-15,11
2015-02-22,11
2015-03-01,12
2015-03-08,14
2015-03-15,17
2015-03-22,21
2015-03-29,20
2015-04-05,21
2015-04-12,20
2015-04-19,23
2015-04-26,23
2015-05-03,37
2015-05-10,37
2015-05-17,33
2015-05-24,44
2015-05-31,35
2015-06-07,53
2015-06-14,47
2015-06-21,52
2015-06-28,54
2015-07-05,43
2015-07-12,43
2015-07-19,47
2015-07-26,46
2015-08-02,33
2015-08-09,31
2015-08-16,32
2015-08-23,24
2015-08-30,25
2015-09-06,28
2015-09-13,18
2015-09-20,17
2015-09-27,15
2015-10-04,16
2015-10-11,16
2015-10-18,13
2015-10-25,12
2015-11-01,12
2015-11-08,11
2015-11-15,12
2015-11-22,11
2015-11-29,11
2015-12-06,11
2015-12-13,12
2015-12-20,11
2015-12-27,12
2016-01-03,12
2016-01-10,12
2016-01-17,12
2016-01-24,11
2016-01-31,12
2016-02-07,13
2016-02-14,14
2016-02-21,15
2016-02-28,15
2016-03-06,18
2016-03-13,19
2016-03-20,19
2016-03-27,20
2016-04-03,24
2016-04-10,24
2016-04-17,34
2016-04-24,31
2016-05-01,29
2016-05-08,30
2016-05-15,28
2016-05-22,65
2016-05-29,66
2016-06-05,53
2016-06-12,48
2016-06-19,60
2016-06-26,48
2016-07-03,48
2016-07-10,44
2016-07-17,58
2016-07-24,54
2016-07-31,37
